title,url,duration,thumbnail
I made a Discord Bot that says Choo Choo,https://www.youtube.com/watch?v=AvQcTjB3gPg,1995,https://i.ytimg.com/vi/AvQcTjB3gPg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnxbml4j7AQBEqRNN6L6EQmAIxww
How to Set Up a Node.js Project,https://www.youtube.com/watch?v=wM3TEvQn2hw,1484,https://i.ytimg.com/vi/wM3TEvQn2hw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlUlQV639_YZtdLGeNMHtee5rlzA
"Workflow: Terminal, Shell, Node.js, VSCode",https://www.youtube.com/watch?v=46WOuOrMwTQ,1410,https://i.ytimg.com/vi/46WOuOrMwTQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFMNNPOUsYOdAZenNRlA3s8LAZAA
Creative Coding for Beginners - Full Course!,https://www.youtube.com/watch?v=4JzDttgdILQ,18377,https://i.ytimg.com/vi/4JzDttgdILQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDI2aSvso49mtVx454gDSlBI7bBbQ
All aboard the new Coding Train website!,https://www.youtube.com/watch?v=5O2Yw_ldRjA,343,https://i.ytimg.com/vi/5O2Yw_ldRjA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmzJaJhFXczcnFb0AHGstFuRyRSQ
What was Coding like 40 years ago?,https://www.youtube.com/watch?v=7r83N3c2kPw,1745,https://i.ytimg.com/vi/7r83N3c2kPw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7ATgc7pQuDoKXLK06oXmd3C3H7A
Local Storage in JavaScript with p5.js,https://www.youtube.com/watch?v=_SRS8b4LcZ8,724,https://i.ytimg.com/vi/_SRS8b4LcZ8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmSZQxcM42Pq2qFxAIyBpG4aqQ_A
The Anal Retentive Coder,https://www.youtube.com/watch?v=xZ7XEptRtpM,287,https://i.ytimg.com/vi/xZ7XEptRtpM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7J5CHk2-92wMem5KAQnByemojBg
5.7 Path Following (Steering) - Nature of Code,https://www.youtube.com/watch?v=rlZYT-uvmGQ,941,https://i.ytimg.com/vi/rlZYT-uvmGQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmPfEQmlnhTEn45WFsvV4_WA5VfA
Machine Learning and the Computer Mouse (from the 2021 Computer Mouse Conference),https://www.youtube.com/watch?v=h279eYIROIM,1426,https://i.ytimg.com/vi/h279eYIROIM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmt7ErJ6k82BW2W2hA35HXOUie2w
Guest Conductor: Twirling Tech Goddess,https://www.youtube.com/watch?v=4EOUgfZ-JUE,791,https://i.ytimg.com/vi/4EOUgfZ-JUE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAY10I_wKJI5e78djlgt9DshD9ARw
3.6 Graphing Sine Wave - Nature of Code,https://www.youtube.com/watch?v=JLAc9hMtcxk,621,https://i.ytimg.com/vi/JLAc9hMtcxk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArcejVwtITVr7vbvGBuDozdSUKrw
3.5 Simple Harmonic Motion - Nature of Code,https://www.youtube.com/watch?v=m463X1cqV6s,730,https://i.ytimg.com/vi/m463X1cqV6s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjWdI9WFNqr8JdIQ6Rtrm5_wvAug
3.3: Angles and Vectors - Nature of Code,https://www.youtube.com/watch?v=oXwCVDXS2Lg,579,https://i.ytimg.com/vi/oXwCVDXS2Lg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7BcwxaxuTknIxkY8xyCHDzZ3xcQ
3.2 Angular Motion - Nature of Code,https://www.youtube.com/watch?v=i2ROE_mAhU0,593,https://i.ytimg.com/vi/i2ROE_mAhU0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8yUdxLI73RCJ07_s8Ki-ZvfolBQ
3.1 Angles and Rotation - Nature of Code,https://www.youtube.com/watch?v=DMg-WRfNB60,669,https://i.ytimg.com/vi/DMg-WRfNB60/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGe0l-lEimErtzkHNYHvPbm8JC8Q
Discord Bots 6: Building a Command Handler,https://www.youtube.com/watch?v=B60Q74FHFBQ,1166,https://i.ytimg.com/vi/B60Q74FHFBQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAszYGw1Rb5z71AHInmX943jj6rCQ
Discord Bots 5: Posting GIFs,https://www.youtube.com/watch?v=9P1rB2MY4ZA,908,https://i.ytimg.com/vi/9P1rB2MY4ZA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvhED96fuXkiQTcVuqKbASDjK4Ag
Discord Bots 4: Hiding API Keys with .env,https://www.youtube.com/watch?v=G2Yns7NUSq4,381,https://i.ytimg.com/vi/G2Yns7NUSq4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDanbsnsCtL7buIGJ3lXHJk90LbFw
Discord Bots 3: Coding a Bot with discord.js,https://www.youtube.com/watch?v=8k-zyUyuvlM,1140,https://i.ytimg.com/vi/8k-zyUyuvlM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGdahnNLTagg41irp_wXZuotu2kQ
Discord Bots 2: Discord Developer Portal,https://www.youtube.com/watch?v=ibtXXoMxaho,465,https://i.ytimg.com/vi/ibtXXoMxaho/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4z8JiYOiHUykvrz_Fpt4pIB-o-w
Discord Bots 1: Introduction,https://www.youtube.com/watch?v=7A-bnPlxj4k,627,https://i.ytimg.com/vi/7A-bnPlxj4k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBEHIFnb-RIA5J6kdUXq16A-W2edA
Hosting a p5.js sketch with GitHub Pages,https://www.youtube.com/watch?v=ZneWjyn18e8,1049,https://i.ytimg.com/vi/ZneWjyn18e8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVYWFlid0IVPHxcyLujnISKmWC3w
Coding Marching Squares,https://www.youtube.com/watch?v=0ZONMNUKTfU,1588,https://i.ytimg.com/vi/0ZONMNUKTfU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1BFS6n0RO_5UIRmY2tyhS3bbILg
Guest Conductor: Amigoscode,https://www.youtube.com/watch?v=SSSRI4TwloA,902,https://i.ytimg.com/vi/SSSRI4TwloA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLZlEqo7_T6f8HbAX4UKb-RLFiLQ
Coding Worley Noise,https://www.youtube.com/watch?v=4066MndcyCk,940,https://i.ytimg.com/vi/4066MndcyCk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAcFgWV4sFDQm1k55HBH_JwNXNHfg
Introduction,https://www.youtube.com/watch?v=3slqsMHKLng,75,https://i.ytimg.com/vi/3slqsMHKLng/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKSA04NCIt8RSGhhO6tJxguY799g
Coding the Hilbert Curve,https://www.youtube.com/watch?v=dSK-MW-zuAc,1688,https://i.ytimg.com/vi/dSK-MW-zuAc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzeSTAvS5yn-kWvpoUUIkbIzDytQ
ITP/IMA Winter Show 2019,https://www.youtube.com/watch?v=0LMNNsxPfJU,1071,https://i.ytimg.com/vi/0LMNNsxPfJU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8DgpnF5QX-bHtnNzYhcsinbnR3w
ml5: Neural Network Regression,https://www.youtube.com/watch?v=fFzvwdkzr_c,591,https://i.ytimg.com/vi/fFzvwdkzr_c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdxRd2fuWjG8a_ahJuUHoZGqcD8A
ml5: Save Neural Network Trained Model,https://www.youtube.com/watch?v=wUrg9Hjkhg0,657,https://i.ytimg.com/vi/wUrg9Hjkhg0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzh-9FlRcu1Csbtxf8QRB1UKBRjQ
